category,rank,company,domain,status,notes
Business Insurance Top 100 insurance brokerages,99,Morris & Garritano Insurance Agency,morrisgarritano.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,100,Moody Insurance Agency,moodyins.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
AmLaw 100 law firms,1,Kirkland & Ellis,kirkland.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,2,Latham & Watkins,lw.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,3,DLA Piper,dlapiper.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,4,"Gibson, Dunn & Crutcher",gibsondunn.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,5,"Skadden, Arps, Slate, Meagher & Flom",skadden.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,6,Sidley Austin,sidley.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,7,Ropes & Gray,ropesgray.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,8,Baker McKenzie,bakermckenzie.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,9,White & Case,whitecase.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,10,Simpson Thacher & Bartlett,stblaw.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,11,"Morgan, Lewis & Bockius",morganlewis.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,12,Hogan Lovells,hoganlovells.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,13,"Paul, Weiss, Rifkind, Wharton & Garrison",paulweiss.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,14,Davis Polk & Wardwell,davispolk.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,15,Jones Day,jonesday.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,16,McDermott Will & Emery,mwe.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,17,Greenberg Traurig,gtlaw.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,18,Dentons,dentons.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,19,Norton Rose Fulbright,nortonrosefulbright.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,20,Quinn Emanuel Urquhart & Sullivan,quinnemanuel.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,21,Goodwin Procter,goodwinlaw.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,22,Paul Hastings,paulhastings.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,23,King & Spalding,kslaw.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,24,Cooley,cooley.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,25,Sullivan & Cromwell,sullcrom.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,26,Holland & Knight,hklaw.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,27,Mayer Brown,mayerbrown.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,28,Milbank,milbank.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,29,"Weil, Gotshal & Manges",weil.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,30,Covington & Burling,cov.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,31,Willkie Farr & Gallagher,willkie.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,32,Cleary Gottlieb Steen & Hamilton,clearygottlieb.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,33,Troutman Pepper Locke,troutman.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,34,"Orrick, Herrington & Sutcliffe",orrick.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,35,Debevoise & Plimpton,debevoise.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,36,Akin Gump Strauss Hauer & Feld,akingump.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,37,Wilson Sonsini Goodrich & Rosati,wsgr.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,38,Wilmer Cutler Pickering Hale and Dorr,wilmerhale.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,39,Dechert,dechert.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,40,Reed Smith,reedsmith.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,41,Proskauer Rose,proskauer.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,42,Morrison & Foerster,mofo.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,43,Foley & Lardner,foley.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,44,Alston & Bird,alston.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,45,Squire Patton Boggs,squirepattonboggs.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,46,"Wachtell, Lipton, Rosen & Katz",wlrk.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,47,Sheppard Mullin,sheppardmullin.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,48,K&L Gates,klgates.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,49,Winston & Strawn,winston.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,50,"Cravath, Swaine & Moore",cravath.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,51,Perkins Coie,perkinscoie.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,52,"Fried, Frank, Harris, Shriver & Jacobson",friedfrank.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,53,Arnold & Porter,arnoldporter.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,54,McGuireWoods,mcguirewoods.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,55,Polsinelli,polsinelli.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,56,Faegre Drinker,faegredrinker.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,57,O'Melveny & Myers,omm.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,58,Vinson & Elkins,velaw.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,59,BakerHostetler,bakerlaw.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,60,Nelson Mullins Riley & Scarborough,nelsonmullins.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,61,Taft Stettinius & Hollister,taftlaw.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,62,Littler Mendelson,littler.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,63,Seyfarth Shaw,seyfarth.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,64,Hunton Andrews Kurth,huntonak.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,65,Pillsbury Winthrop Shaw Pittman,pillsburylaw.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,66,Katten Muchin Rosenman,katten.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,67,Bryan Cave Leighton Paisner,bclplaw.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,68,Venable,venable.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,69,Fenwick & West,fenwick.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,70,Gordon Rees Scully Mansukhani,grsm.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,71,Fox Rothschild,foxrothschild.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,72,Lewis Brisbois Bisgaard & Smith,lewisbrisbois.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,73,Blank Rome,blankrome.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,74,"Fragomen, Del Rey, Bernsen & Loewy",fragomen.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,75,Baker Botts,bakerbotts.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,76,Womble Bond Dickinson,womblebonddickinson.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,77,Ogletree Deakins,ogletree.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,78,Barnes & Thornburg,btlaw.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,79,Jackson Lewis,jacksonlewis.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,80,Cozen O'Connor,cozen.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,81,Jenner & Block,jenner.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,82,Husch Blackwell,huschblackwell.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,83,Mintz,mintz.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,84,Duane Morris,duanemorris.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,85,Haynes and Boone,haynesboone.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,86,Crowell & Moring,crowell.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,87,Williams & Connolly,wc.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,88,Nixon Peabody,nixonpeabody.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,89,Ballard Spahr,ballardspahr.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,90,Davis Wright Tremaine,dwt.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,91,ArentFox Schiff,afslaw.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,92,Susman Godfrey,susmangodfrey.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,93,"Shook, Hardy & Bacon",shb.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,94,Wilson Elser,wilsonelser.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,95,Kilpatrick Townsend,kilpatricktownsend.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,96,Akerman,akerman.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,97,"Cadwalader, Wickersham & Taft",cadwalader.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,98,Steptoe,steptoe.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,99,Dorsey & Whitney,dorsey.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
AmLaw 100 law firms,100,Bradley Arant Boult Cummings,bradley.com,ground_truth,Ground truth source; original ranking type: AmLaw 100
Top 50 government relations firms by lobbying revenue,1,Ballard Partners,ballardpartners.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,2,Brownstein Hyatt Farber Schreck,bhfs.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,3,BGR Government Affairs,bgrdc.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,4,Akin Gump Strauss Hauer & Feld,akingump.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,5,Cornerstone Government Affairs,cgadc.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,6,Holland & Knight,hklaw.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,7,Miller Strategies,millerstrategies.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
